node,height,label,recvUnixMs
node0,300,b1,1781221725572
node0,468,b1,1781221813799
node0,468,b1,1781221813799
node0,468,b1,1781221813800
node0,468,b2,1781221813802
node0,468,b1,1781221813802
node0,468,b2,1781221813802
node0,468,b1,1781221813807
node0,468,b1,1781221813808
node0,468,b1,1781221813808
node0,468,b1,1781221813808
node0,468,b1,1781221813809
node0,636,b1,1781221904045
node0,636,b1,1781221904053
node0,804,b1,1781221992694
node0,804,b1,1781221992700
node0,804,b1,1781221992702
node0,804,b1,1781221992703
node0,804,b1,1781221992704
node0,804,b1,1781221992706
node0,804,b2,1781221992724
node0,804,b2,1781221992724
node0,804,b1,1781221992724
node0,804,b1,1781221992725
node0,804,b2,1781221992725
node0,804,b1,1781221992725
node0,804,b1,1781221992725
node0,804,b2,1781221992737
node0,804,b1,1781221992915
node0,804,b1,1781221992925
node0,972,b1,1781222089176
node0,972,b1,1781222089180
node0,1140,b1,1781222186794
node0,1140,b1,1781222186797
node0,1140,b2,1781222186801
node0,1140,b1,1781222186802
node0,1140,b1,1781222186802
node0,1140,b1,1781222186803
node0,1140,b1,1781222186807
node0,1140,b1,1781222186807
node0,1140,b1,1781222186808
node0,1140,b1,1781222186808
node0,1140,b2,1781222186811
node0,1140,b2,1781222186812
node0,1140,b1,1781222187054
node0,1140,b1,1781222187074
node0,1308,b1,1781222281649
node0,1308,b1,1781222281656
node0,1476,b1,1781222376404
node0,1476,b1,1781222376409
node0,1644,b1,1781222467054
node0,1812,b1,1781222547851
node0,300,b1,1781221725572
node0,468,b1,1781221813799
node0,468,b1,1781221813799
node0,468,b1,1781221813800
node0,468,b2,1781221813802
node0,468,b1,1781221813802
node0,468,b2,1781221813802
node0,468,b1,1781221813807
node0,468,b1,1781221813808
node0,468,b1,1781221813808
node0,468,b1,1781221813808
node0,468,b1,1781221813809
node0,636,b1,1781221904045
node0,636,b1,1781221904053
node0,804,b1,1781221992694
node0,804,b1,1781221992700
node0,804,b1,1781221992702
node0,804,b1,1781221992703
node0,804,b1,1781221992704
node0,804,b1,1781221992706
node0,804,b2,1781221992724
node0,804,b2,1781221992724
node0,804,b1,1781221992724
node0,804,b1,1781221992725
node0,804,b2,1781221992725
node0,804,b1,1781221992725
node0,804,b1,1781221992725
node0,804,b2,1781221992737
node0,804,b1,1781221992915
node0,804,b1,1781221992925
node0,972,b1,1781222089176
node0,972,b1,1781222089180
node0,1140,b1,1781222186794
node0,1140,b1,1781222186797
node0,1140,b2,1781222186801
node0,1140,b1,1781222186802
node0,1140,b1,1781222186802
node0,1140,b1,1781222186803
node0,1140,b1,1781222186807
node0,1140,b1,1781222186807
node0,1140,b1,1781222186808
node0,1140,b1,1781222186808
node0,1140,b2,1781222186811
node0,1140,b2,1781222186812
node0,1140,b1,1781222187054
node0,1140,b1,1781222187074
node0,1308,b1,1781222281649
node0,1308,b1,1781222281656
node0,1476,b1,1781222376404
node0,1476,b1,1781222376409
node0,1644,b1,1781222467054
node0,1812,b1,1781222547851
node1,300,b1,1781221725581
node1,300,b1,1781221732485
node1,468,b1,1781221813795
node1,468,b1,1781221813801
node1,468,b1,1781221813802
node1,468,b1,1781221813804
node1,468,b1,1781221813805
node1,468,b1,1781221813813
node1,468,b1,1781221813815
node1,468,b2,1781221813827
node1,636,b1,1781221904046
node1,636,b1,1781221904051
node1,804,b1,1781221992697
node1,804,b1,1781221992701
node1,804,b1,1781221992703
node1,804,b1,1781221992705
node1,804,b1,1781221992710
node1,804,b1,1781221992710
node1,804,b1,1781221992730
node1,804,b1,1781221992731
node1,804,b2,1781221992731
node1,804,b1,1781221992915
node1,972,b1,1781222089154
node1,972,b1,1781222089154
node1,1140,b1,1781222186798
node1,1140,b1,1781222186800
node1,1140,b1,1781222186801
node1,1140,b1,1781222186801
node1,1140,b1,1781222186802
node1,1140,b1,1781222186809
node1,1140,b1,1781222186809
node1,1140,b1,1781222186815
node1,1140,b2,1781222186823
node1,1140,b2,1781222186826
node1,1140,b2,1781222186826
node1,1140,b1,1781222187058
node1,1308,b1,1781222281649
node1,1308,b1,1781222281655
node1,1476,b1,1781222376405
node1,1476,b1,1781222376408
node1,1644,b1,1781222467056
node1,1812,b1,1781222547850
node1,300,b1,1781221725581
node1,300,b1,1781221732485
node1,468,b1,1781221813795
node1,468,b1,1781221813801
node1,468,b1,1781221813802
node1,468,b1,1781221813804
node1,468,b1,1781221813805
node1,468,b1,1781221813813
node1,468,b1,1781221813815
node1,468,b2,1781221813827
node1,636,b1,1781221904046
node1,636,b1,1781221904051
node1,804,b1,1781221992697
node1,804,b1,1781221992701
node1,804,b1,1781221992703
node1,804,b1,1781221992705
node1,804,b1,1781221992710
node1,804,b1,1781221992710
node1,804,b1,1781221992730
node1,804,b1,1781221992731
node1,804,b2,1781221992731
node1,804,b1,1781221992915
node1,972,b1,1781222089154
node1,972,b1,1781222089154
node1,1140,b1,1781222186798
node1,1140,b1,1781222186800
node1,1140,b1,1781222186801
node1,1140,b1,1781222186801
node1,1140,b1,1781222186802
node1,1140,b1,1781222186809
node1,1140,b1,1781222186809
node1,1140,b1,1781222186815
node1,1140,b2,1781222186823
node1,1140,b2,1781222186826
node1,1140,b2,1781222186826
node1,1140,b1,1781222187058
node1,1308,b1,1781222281649
node1,1308,b1,1781222281655
node1,1476,b1,1781222376405
node1,1476,b1,1781222376408
node1,1644,b1,1781222467056
node1,1812,b1,1781222547850
node2,300,b1,1781221725354
node2,300,b1,1781221725357
node2,300,b1,1781221725577
node2,468,b1,1781221813794
node2,468,b1,1781221813801
node2,468,b1,1781221813801
node2,468,b1,1781221813801
node2,468,b1,1781221813801
node2,468,b1,1781221813802
node2,468,b1,1781221813805
node2,468,b2,1781221813805
node2,468,b2,1781221813805
node2,468,b1,1781221813811
node2,468,b1,1781221813812
node2,468,b2,1781221813814
node2,468,b2,1781221813821
node2,468,b2,1781221813824
node2,468,b2,1781221813838
node2,636,b1,1781221904045
node2,636,b1,1781221905960
node2,804,b1,1781221992694
node2,804,b1,1781221992698
node2,804,b1,1781221992700
node2,804,b1,1781221992701
node2,804,b1,1781221992703
node2,804,b1,1781221992703
node2,804,b1,1781221992705
node2,804,b1,1781221992707
node2,804,b1,1781221992708
node2,804,b1,1781221992730
node2,804,b2,1781221992748
node2,972,b1,1781222089150
node2,972,b1,1781222089154
node2,1140,b1,1781222186794
node2,1140,b1,1781222186798
node2,1140,b1,1781222186799
node2,1140,b1,1781222186803
node2,1140,b1,1781222186804
node2,1140,b1,1781222186804
node2,1140,b1,1781222186804
node2,1140,b1,1781222186805
node2,1140,b1,1781222186805
node2,1140,b2,1781222186821
node2,1308,b1,1781222281649
node2,1476,b1,1781222376400
node2,1476,b1,1781222376404
node2,1644,b1,1781222467044
node2,1812,b1,1781222547842
node2,300,b1,1781221725354
node2,300,b1,1781221725357
node2,300,b1,1781221725577
node2,468,b1,1781221813794
node2,468,b1,1781221813801
node2,468,b1,1781221813801
node2,468,b1,1781221813801
