node,height,label,recvUnixMs
node0,300,b1,1781220590510
node0,300,b1,1781220590511
node0,300,b1,1781220590512
node0,300,b1,1781220590514
node0,300,b1,1781220590514
node0,300,b1,1781220590523
node0,300,b1,1781220590523
node0,300,b1,1781220590525
node0,300,b2,1781220590548
node0,300,b1,1781220590732
node0,300,b1,1781220590737
node0,468,b1,1781220676911
node0,468,b1,1781220676914
node0,468,b1,1781220676914
node0,468,b1,1781220676919
node0,468,b1,1781220676920
node0,468,b1,1781220676923
node0,468,b1,1781220676930
node0,468,b2,1781220676952
node0,468,b2,1781220676953
node0,636,b1,1781220760510
node0,636,b1,1781220760511
node0,636,b1,1781220760522
node0,636,b1,1781220760522
node0,636,b1,1781220760522
node0,636,b1,1781220760522
node0,636,b1,1781220760530
node0,636,b2,1781220760553
node0,636,b1,1781220760732
node0,804,b1,1781220852913
node0,804,b1,1781220852917
node0,804,b1,1781220852919
node0,804,b1,1781220852925
node0,804,b1,1781220852925
node0,804,b1,1781220852925
node0,804,b1,1781220852926
node0,804,b1,1781220852930
node0,804,b1,1781220852929
node0,804,b2,1781220852956
node0,804,b2,1781220852958
node0,804,b1,1781220853140
node0,804,b1,1781220853150
node0,972,b1,1781220949315
node0,1140,b1,1781221030914
node0,1140,b1,1781221030919
node0,1140,b1,1781221030919
node0,1140,b1,1781221030924
node0,1140,b1,1781221030929
node0,1140,b1,1781221030932
node0,1140,b1,1781221030941
node0,1140,b2,1781221030951
node0,1140,b2,1781221030966
node0,1140,b2,1781221030970
node0,1140,b1,1781221031201
node0,1140,b1,1781221031217
node0,1308,b1,1781221125720
node0,1308,b1,1781221125720
node0,1476,b1,1781221204376
node0,1476,b1,1781221204379
node0,1644,b1,1781221294970
node0,1812,b1,1781221375566
node0,300,b1,1781220590510
node0,300,b1,1781220590511
node0,300,b1,1781220590512
node0,300,b1,1781220590514
node0,300,b1,1781220590514
node0,300,b1,1781220590523
node0,300,b1,1781220590523
node0,300,b1,1781220590525
node0,300,b2,1781220590548
node0,300,b1,1781220590732
node0,300,b1,1781220590737
node0,468,b1,1781220676911
node0,468,b1,1781220676914
node0,468,b1,1781220676914
node0,468,b1,1781220676919
node0,468,b1,1781220676920
node0,468,b1,1781220676923
node0,468,b1,1781220676930
node0,468,b2,1781220676952
node0,468,b2,1781220676953
node0,636,b1,1781220760510
node0,636,b1,1781220760511
node0,636,b1,1781220760522
node0,636,b1,1781220760522
node0,636,b1,1781220760522
node0,636,b1,1781220760522
node0,636,b1,1781220760530
node0,636,b2,1781220760553
node0,636,b1,1781220760732
node0,804,b1,1781220852913
node0,804,b1,1781220852917
node0,804,b1,1781220852919
node0,804,b1,1781220852925
node0,804,b1,1781220852925
node0,804,b1,1781220852925
node0,804,b1,1781220852926
node0,804,b1,1781220852930
node0,804,b1,1781220852929
node0,804,b2,1781220852956
node0,804,b2,1781220852958
node0,804,b1,1781220853140
node0,804,b1,1781220853150
node0,972,b1,1781220949315
node0,1140,b1,1781221030914
node0,1140,b1,1781221030919
node0,1140,b1,1781221030919
node0,1140,b1,1781221030924
node0,1140,b1,1781221030929
node0,1140,b1,1781221030932
node0,1140,b1,1781221030941
node0,1140,b2,1781221030951
node0,1140,b2,1781221030966
node0,1140,b2,1781221030970
node0,1140,b1,1781221031201
node0,1140,b1,1781221031217
node0,1308,b1,1781221125720
node0,1308,b1,1781221125720
node0,1476,b1,1781221204376
node0,1476,b1,1781221204379
node0,1644,b1,1781221294970
node0,1812,b1,1781221375566
node1,300,b1,1781220590511
node1,300,b1,1781220590513
node1,300,b1,1781220590513
node1,300,b1,1781220590515
node1,300,b1,1781220590518
node1,300,b1,1781220590522
node1,300,b1,1781220590522
node1,300,b1,1781220590526
node1,300,b1,1781220590519
node1,300,b2,1781220590552
node1,300,b2,1781220590558
node1,468,b1,1781220676913
node1,468,b1,1781220676913
node1,468,b1,1781220676920
node1,468,b1,1781220676921
node1,468,b1,1781220676921
node1,468,b1,1781220676925
node1,468,b1,1781220676927
node1,468,b2,1781220676949
node1,468,b2,1781220676954
node1,468,b2,1781220676955
node1,468,b2,1781220676957
node1,636,b1,1781220760519
node1,636,b1,1781220760519
node1,636,b1,1781220760519
node1,636,b1,1781220760519
node1,636,b1,1781220760519
node1,636,b1,1781220760524
node1,636,b1,1781220760524
node1,636,b2,1781220760552
node1,636,b2,1781220760555
node1,804,b1,1781220852916
node1,804,b1,1781220852920
node1,804,b1,1781220852922
node1,804,b1,1781220852926
node1,804,b1,1781220852926
node1,804,b1,1781220852928
node1,804,b1,1781220852930
node1,804,b2,1781220852951
node1,804,b2,1781220852960
node1,804,b1,1781220853147
node1,972,b1,1781220949316
node1,1140,b1,1781221030914
node1,1140,b1,1781221030923
node1,1140,b1,1781221030924
node1,1140,b1,1781221030928
node1,1140,b1,1781221030928
node1,1140,b1,1781221030930
node1,1140,b1,1781221030934
node1,1140,b1,1781221030938
node1,1140,b2,1781221030970
node1,1140,b2,1781221030975
node1,1140,b2,1781221030982
node1,1140,b1,1781221031177
node1,1140,b1,1781221031230
node1,1308,b1,1781221125716
node1,1308,b1,1781221125723
node1,1476,b1,1781221204379
node1,1476,b1,1781221204385
node1,1644,b1,1781221294973
node1,1812,b1,1781221375565
node1,300,b1,1781220590511
node1,300,b1,1781220590513
node1,300,b1,1781220590513
node1,300,b1,1781220590515
node1,300,b1,1781220590518
node1,300,b1,1781220590522
node1,300,b1,1781220590522
node1,300,b1,1781220590526
node1,300,b1,1781220590519
node1,300,b2,1781220590552
node1,300,b2,1781220590558
node1,468,b1,1781220676913
node1,468,b1,1781220676913
node1,468,b1,1781220676920
node1,468,b1,1781220676921
node1,468,b1,1781220676921
node1,468,b1,1781220676925
node1,468,b1,1781220676927
node1,468,b2,1781220676949
node1,468,b2,1781220676954
node1,468,b2,1781220676955
node1,468,b2,1781220676957
node1,636,b1,1781220760519
node1,636,b1,1781220760519
node1,636,b1,1781220760519
node1,636,b1,1781220760519
node1,636,b1,1781220760519
node1,636,b1,1781220760524
node1,636,b1,1781220760524
node1,636,b2,1781220760552
node1,636,b2,1781220760555
node1,804,b1,1781220852916
node1,804,b1,1781220852920
node1,804,b1,1781220852922
node1,804,b1,1781220852926
node1,804,b1,1781220852926
node1,804,b1,1781220852928
node1,804,b1,1781220852930
node1,804,b2,1781220852951
node1,804,b2,1781220852960
node1,804,b1,1781220853147
node1,972,b1,1781220949316
node1,1140,b1,1781221030914
node1,1140,b1,1781221030923
node1,1140,b1,1781221030924
node1,1140,b1,1781221030928
node1,1140,b1,1781221030928
node1,1140,b1,1781221030930
node1,1140,b1,1781221030934
node1,1140,b1,1781221030938
node1,1140,b2,1781221030970
node1,1140,b2,1781221030975
node1,1140,b2,1781221030982
node1,1140,b1,1781221031177
node1,1140,b1,1781221031230
node1,1308,b1,1781221125716
node1,1308,b1,1781221125723
node1,1476,b1,1781221204379
node1,1476,b1,1781221204385
node1,1644,b1,1781221294973
node1,1812,b1,1781221375565
node2,300,b1,1781220590510
node2,300,b1,1781220590517
node2,300,b1,1781220590517
node2,300,b1,1781220590517
node2,300,b1,1781220590524
node2,300,b1,1781220590525
node2,300,b1,1781220590525
node2,300,b2,1781220590553
node2,300,b2,1781220590553
node2,468,b1,1781220676911
node2,468,b1,1781220676913
node2,468,b1,1781220676913
node2,468,b1,1781220676916
node2,468,b1,1781220676918
node2,468,b1,1781220676927
node2,468,b1,1781220676930
node2,468,b2,1781220676950
node2,468,b2,1781220676951
node2,468,b2,1781220676953
node2,636,b1,1781220760514
node2,636,b1,1781220760517
node2,636,b1,1781220760517
node2,636,b1,1781220760517
node2,636,b1,1781220760518
node2,636,b1,1781220760518
node2,636,b1,1781220760518
node2,636,b1,1781220760524
node2,636,b1,1781220760527
node2,636,b2,1781220760549
node2,636,b2,1781220760552
node2,636,b2,1781220760552
node2,636,b2,1781220760552
node2,636,b1,1781220760737
node2,804,b1,1781220852917
node2,804,b1,1781220852918
node2,804,b1,1781220852919
node2,804,b1,1781220852921
node2,804,b1,1781220852926
node2,804,b1,1781220852926
node2,804,b1,1781220852930
node2,804,b2,1781220852953
node2,804,b2,1781220852954
node2,804,b2,1781220852961
node2,972,b1,1781220949312
node2,1140,b1,1781221030912
node2,1140,b1,1781221030919
node2,1140,b1,1781221030921
node2,1140,b1,1781221030925
