slot,benchmark_attestations,g1_matching_attestations_on_CA,g2_matching_attestations_on_CB
300,21,0,0
301,21,0,0
302,21,0,0
303,21,0,0
304,21,0,0
305,21,0,0
306,21,0,0
307,21,0,0
308,21,0,0
309,21,0,0
310,21,0,0
311,21,0,0
312,21,0,0
313,21,0,0
314,21,0,0
315,21,0,0
316,21,0,0
317,21,0,0
318,21,0,0
319,21,0,0
320,21,0,0
321,21,0,0
322,21,0,0
323,21,0,0
324,21,0,0
325,21,0,0
326,21,0,0
327,21,0,0
328,21,0,0
329,21,0,0
330,21,0,0
331,21,0,0
332,21,0,0
333,21,0,0
334,21,0,0
335,21,0,0
336,21,0,0
337,21,0,0
338,21,0,0
339,21,0,0
340,21,0,0
341,21,0,0
342,21,0,0
343,21,0,0
344,21,0,0
345,21,0,0
346,21,0,0
347,21,0,0
348,21,0,0
349,21,0,0
350,21,0,0
351,21,0,0
352,21,0,0
353,21,0,0
354,21,0,0
355,21,0,0
356,21,0,0
357,21,0,0
358,21,0,0
359,21,0,0
360,21,0,0
361,21,0,0
362,21,0,0
363,21,0,0
364,21,0,0
365,21,0,0
366,21,0,0
367,21,0,0
368,21,0,0
369,21,0,0
370,21,0,0
371,21,0,0
372,21,0,0
373,21,0,0
374,21,0,0
375,21,0,0
376,21,0,0
377,21,0,0
378,21,0,0
379,21,0,0
380,21,0,0
381,21,0,0
382,21,0,0
383,21,0,0
384,21,0,0
385,21,0,0
386,21,0,0
387,21,0,0
388,21,0,0
389,21,0,0
390,21,0,0
391,21,0,0
392,21,0,0
393,21,0,0
394,21,0,0
395,21,0,0
396,21,0,0
397,21,0,0
398,21,0,0
399,21,11,10
400,21,11,10
401,21,11,10
402,21,11,10
403,21,11,10
404,21,11,10
405,21,11,10
406,21,11,10
407,21,11,10
408,21,11,10
409,21,11,10
410,21,11,10
411,21,11,10
412,21,17,15
413,21,17,15
414,21,17,15
415,21,17,15
416,21,17,15
417,21,17,15
418,21,17,15
419,21,17,15
420,21,17,15
421,21,17,15
422,21,17,15
423,21,17,15
424,21,17,15
425,21,17,15
426,21,17,15
427,21,17,15
428,21,17,15
429,21,17,15
430,21,17,15
431,21,17,15
432,21,17,15
433,21,17,15
434,21,17,15
435,21,5,15
436,21,17,15
437,21,17,15
438,21,17,15
439,21,17,15
440,21,17,15
