slot,benchmark_attestations,g1_matching_attestations_on_CA,g2_matching_attestations_on_CB
300,21,0,0
301,21,0,0
302,21,0,0
303,21,0,0
304,21,0,0
305,21,0,0
306,21,0,0
307,21,0,0
308,21,0,0
309,21,0,0
310,21,0,0
311,21,0,0
312,21,0,0
313,21,0,0
314,21,0,0
315,21,0,0
316,21,0,0
317,21,0,0
318,21,0,0
319,21,0,0
320,21,0,0
321,21,0,0
322,21,0,0
323,21,0,0
324,21,0,0
325,21,0,0
326,21,0,0
327,21,0,0
328,21,0,0
329,21,0,0
330,21,0,0
331,21,0,0
332,21,0,0
333,21,0,0
334,21,0,0
335,21,0,0
336,21,0,0
337,21,0,0
338,21,0,0
339,21,0,0
340,21,0,0
341,21,0,0
342,21,0,0
343,21,0,0
344,21,0,0
345,21,0,0
346,21,0,0
347,21,0,0
348,21,0,0
349,21,0,0
350,21,0,0
351,21,0,0
352,21,0,0
353,21,0,0
354,21,0,0
355,21,0,0
356,21,0,0
357,21,0,0
358,21,0,0
359,21,0,0
360,21,0,0
361,21,0,0
362,21,0,0
363,21,0,0
364,21,0,0
365,21,0,0
366,21,0,0
367,21,0,0
368,21,0,0
369,21,0,0
370,21,0,0
371,21,0,0
372,21,0,0
373,21,0,0
374,21,0,0
375,21,0,0
376,21,0,0
377,21,0,0
378,21,0,0
379,21,0,0
380,21,0,0
381,21,0,0
382,21,0,0
383,21,0,0
384,21,0,0
385,21,0,0
386,21,0,0
387,21,0,0
388,21,0,0
389,21,0,0
390,21,0,0
391,21,0,0
392,21,0,0
393,21,0,0
394,21,0,0
395,21,0,0
396,21,0,0
397,21,0,0
398,21,0,0
399,21,11,10
400,21,11,10
401,21,11,10
402,21,11,10
403,21,11,10
404,21,11,10
405,21,11,10
406,21,11,10
407,21,11,10
408,21,11,10
409,21,11,10
410,21,11,10
411,21,11,10
412,21,11,10
413,21,11,10
414,21,11,10
415,21,11,10
416,21,11,10
417,21,11,10
418,21,11,10
419,21,11,10
420,21,11,10
421,21,11,10
422,21,11,10
423,21,11,10
424,21,11,10
425,21,11,10
426,21,11,10
427,21,11,10
428,21,11,10
429,21,11,10
430,21,11,10
431,21,11,10
432,21,11,10
433,21,11,10
434,21,11,10
435,21,11,10
436,21,11,10
437,21,11,10
438,21,11,10
439,21,11,10
440,21,11,11
441,21,11,11
442,21,11,11
443,21,11,11
444,21,11,11
445,21,11,11
446,21,11,11
447,21,11,11
448,21,11,11
449,21,11,11
450,21,11,11
451,21,11,11
452,21,11,11
453,21,11,11
454,21,11,11
455,21,11,11
456,21,11,11
457,21,11,11
458,21,11,11
459,21,11,11
460,21,11,11
461,21,11,11
462,21,11,11
463,21,11,11
464,21,11,11
465,21,11,11
466,21,11,11
467,21,11,11
468,21,11,11
469,21,11,11
470,21,11,11
471,21,11,11
472,21,11,11
473,21,11,11
474,21,11,11
475,21,11,11
476,21,11,11
477,21,11,11
478,21,11,11
479,21,11,11
480,21,11,11
481,21,11,11
482,21,11,11
483,21,11,11
484,21,11,11
485,21,11,11
486,21,11,11
487,21,11,11
488,21,11,11
489,21,17,15
490,21,17,15
491,21,17,15
492,21,17,15
493,21,17,14
494,21,17,15
495,21,17,15
496,21,0,15
497,21,17,15
498,21,17,15
499,21,17,15
500,21,17,15
501,21,17,15
502,21,17,15
503,21,17,15
504,21,17,15
505,21,17,15
506,21,17,15
507,21,17,15
508,21,17,15
509,21,17,15
510,21,17,15
511,21,17,15
512,21,17,15
513,21,17,15
514,21,17,15
515,21,17,15
516,21,17,15
517,21,17,15
518,21,17,15
519,21,17,15
520,21,17,15
521,21,17,15
522,21,17,15
523,21,17,15
524,21,17,15
525,21,17,15
526,21,17,15
527,21,17,15
528,21,17,15
529,21,17,15
530,21,17,15
531,21,17,15
532,21,17,15
533,21,17,15
534,21,17,15
535,21,17,15
536,21,17,15
537,21,17,15
538,21,17,15
539,21,17,15
540,21,17,15
541,21,17,15
542,21,17,15
543,21,17,15
544,21,17,15
545,21,17,15
546,21,17,15
547,21,17,14
548,21,17,15
549,21,17,15
550,21,17,15
