node,height,label,recvUnixMs
node0,300,b1,1781224119579
node0,300,b1,1781224119583
node0,468,b2,1781224205256
node0,468,b2,1781224205262
node0,468,b1,1781224205299
node0,468,b1,1781224205301
node0,468,b1,1781224205320
node0,468,b1,1781224205322
node0,468,b1,1781224205350
node0,468,b1,1781224205408
node0,468,b1,1781224205421
node0,468,b1,1781224205422
node0,468,b1,1781224205422
node0,468,b1,1781224205551
node0,468,b1,1781224205634
node0,468,b1,1781224205638
node0,636,b1,1781224295534
node0,636,b1,1781224295535
node0,804,b2,1781224384105
node0,804,b1,1781224384131
node0,804,b1,1781224384131
node0,804,b1,1781224384131
node0,804,b1,1781224384134
node0,804,b1,1781224384134
node0,804,b1,1781224384134
node0,804,b1,1781224384136
node0,804,b1,1781224384150
node0,804,b1,1781224384150
node0,804,b1,1781224384158
node0,804,b1,1781224384349
node0,804,b1,1781224384374
node0,972,b1,1781224480630
node0,972,b1,1781224480632
node0,1140,b2,1781224578205
node0,1140,b2,1781224578205
node0,1140,b1,1781224578228
node0,1140,b1,1781224578231
node0,1140,b1,1781224578235
node0,1140,b1,1781224578236
node0,1140,b1,1781224578236
node0,1140,b1,1781224578236
node0,1140,b1,1781224578236
node0,1140,b1,1781224578237
node0,1140,b1,1781224578237
node0,1140,b1,1781224578452
node0,1140,b1,1781224578464
node0,1308,b1,1781224673083
node0,1308,b1,1781224673083
node0,1476,b1,1781224767694
node0,1476,b1,1781224767698
node0,1644,b1,1781224858339
node0,1812,b1,1781224954982
node0,1812,b1,1781224954983
node0,1812,b2,1781224955244
node0,300,b1,1781224119579
node0,300,b1,1781224119583
node0,468,b2,1781224205256
node0,468,b2,1781224205262
node0,468,b1,1781224205299
node0,468,b1,1781224205301
node0,468,b1,1781224205320
node0,468,b1,1781224205322
node0,468,b1,1781224205350
node0,468,b1,1781224205408
node0,468,b1,1781224205421
node0,468,b1,1781224205422
node0,468,b1,1781224205422
node0,468,b1,1781224205551
node0,468,b1,1781224205634
node0,468,b1,1781224205638
node0,636,b1,1781224295534
node0,636,b1,1781224295535
node0,804,b2,1781224384105
node0,804,b1,1781224384131
node0,804,b1,1781224384131
node0,804,b1,1781224384131
node0,804,b1,1781224384134
node0,804,b1,1781224384134
node0,804,b1,1781224384134
node0,804,b1,1781224384136
node0,804,b1,1781224384150
node0,804,b1,1781224384150
node0,804,b1,1781224384158
node0,804,b1,1781224384349
node0,804,b1,1781224384374
node0,972,b1,1781224480630
node0,972,b1,1781224480632
node0,1140,b2,1781224578205
node0,1140,b2,1781224578205
node0,1140,b1,1781224578228
node0,1140,b1,1781224578231
node0,1140,b1,1781224578235
node0,1140,b1,1781224578236
node0,1140,b1,1781224578236
node0,1140,b1,1781224578236
node0,1140,b1,1781224578236
node0,1140,b1,1781224578237
node0,1140,b1,1781224578237
node0,1140,b1,1781224578452
node0,1140,b1,1781224578464
node0,1308,b1,1781224673083
node0,1308,b1,1781224673083
node0,1476,b1,1781224767694
node0,1476,b1,1781224767698
node0,1644,b1,1781224858339
node0,1812,b1,1781224954982
node0,1812,b1,1781224954983
node0,1812,b2,1781224955244
node1,300,b1,1781224119573
node1,300,b1,1781224119575
node1,468,b2,1781224205262
node1,468,b2,1781224205269
node1,468,b1,1781224205277
node1,468,b1,1781224205278
node1,468,b2,1781224205292
node1,468,b1,1781224205292
node1,468,b1,1781224205292
node1,468,b1,1781224205292
node1,468,b1,1781224205293
node1,468,b1,1781224205293
node1,468,b1,1781224205293
node1,468,b1,1781224205519
node1,468,b1,1781224205533
node1,636,b1,1781224295526
node1,636,b1,1781224295529
node1,804,b2,1781224384109
node1,804,b2,1781224384115
node1,804,b1,1781224384126
node1,804,b1,1781224384127
node1,804,b1,1781224384128
node1,804,b1,1781224384134
node1,804,b1,1781224384138
node1,804,b1,1781224384141
node1,804,b1,1781224384145
node1,804,b1,1781224384157
node1,804,b1,1781224384355
node1,804,b1,1781224384357
node1,804,b1,1781224384363
node1,804,b1,1781224384370
node1,972,b1,1781224480624
node1,972,b1,1781224480624
node1,1140,b2,1781224578212
node1,1140,b2,1781224578213
node1,1140,b2,1781224578222
node1,1140,b2,1781224578223
node1,1140,b2,1781224578223
node1,1140,b1,1781224578224
node1,1140,b1,1781224578230
node1,1140,b1,1781224578230
node1,1140,b1,1781224578230
node1,1140,b1,1781224578232
node1,1140,b1,1781224578234
node1,1140,b1,1781224578240
node1,1140,b1,1781224578241
node1,1140,b1,1781224578241
node1,1140,b1,1781224578242
node1,1140,b1,1781224578245
node1,1308,b1,1781224673074
node1,1308,b1,1781224673076
node1,1476,b1,1781224767688
node1,1476,b1,1781224767690
node1,1644,b1,1781224858331
node1,1812,b1,1781224954974
node1,1812,b1,1781224954976
node1,300,b1,1781224119573
node1,300,b1,1781224119575
node1,468,b2,1781224205262
node1,468,b2,1781224205269
node1,468,b1,1781224205277
node1,468,b1,1781224205278
node1,468,b2,1781224205292
node1,468,b1,1781224205292
node1,468,b1,1781224205292
node1,468,b1,1781224205292
node1,468,b1,1781224205293
node1,468,b1,1781224205293
node1,468,b1,1781224205293
node1,468,b1,1781224205519
node1,468,b1,1781224205533
node1,636,b1,1781224295526
node1,636,b1,1781224295529
node1,804,b2,1781224384109
node1,804,b2,1781224384115
node1,804,b1,1781224384126
node1,804,b1,1781224384127
node1,804,b1,1781224384128
node1,804,b1,1781224384134
node1,804,b1,1781224384138
node1,804,b1,1781224384141
node1,804,b1,1781224384145
node1,804,b1,1781224384157
node1,804,b1,1781224384355
node1,804,b1,1781224384357
node1,804,b1,1781224384363
node1,804,b1,1781224384370
node1,972,b1,1781224480624
node1,972,b1,1781224480624
node1,1140,b2,1781224578212
node1,1140,b2,1781224578213
node1,1140,b2,1781224578222
node1,1140,b2,1781224578223
node1,1140,b2,1781224578223
node1,1140,b1,1781224578224
node1,1140,b1,1781224578230
node1,1140,b1,1781224578230
node1,1140,b1,1781224578230
node1,1140,b1,1781224578232
node1,1140,b1,1781224578234
node1,1140,b1,1781224578240
node1,1140,b1,1781224578241
node1,1140,b1,1781224578241
node1,1140,b1,1781224578242
node1,1140,b1,1781224578245
node1,1308,b1,1781224673074
node1,1308,b1,1781224673076
node1,1476,b1,1781224767688
node1,1476,b1,1781224767690
node1,1644,b1,1781224858331
node1,1812,b1,1781224954974
node1,1812,b1,1781224954976
node2,300,b1,1781224119574
node2,300,b1,1781224119580
node2,468,b1,1781224205278
node2,468,b1,1781224205281
node2,468,b1,1781224205282
node2,468,b1,1781224205282
node2,468,b1,1781224205286
node2,468,b1,1781224205286
node2,468,b2,1781224205286
node2,468,b1,1781224205297
node2,468,b1,1781224205298
node2,468,b1,1781224205308
node2,636,b1,1781224295537
node2,804,b2,1781224384107
node2,804,b2,1781224384108
node2,804,b1,1781224384134
node2,804,b1,1781224384135
node2,804,b1,1781224384138
node2,804,b1,1781224384138
node2,804,b1,1781224384138
node2,804,b1,1781224384145
node2,804,b1,1781224384374
node2,972,b1,1781224480624
node2,972,b1,1781224480632
node2,1140,b2,1781224578205
node2,1140,b2,1781224578221
node2,1140,b1,1781224578227
node2,1140,b1,1781224578234
node2,1140,b1,1781224578234
node2,1140,b1,1781224578237
node2,1140,b1,1781224578237
node2,1140,b1,1781224578241
node2,1140,b1,1781224578241
node2,1140,b1,1781224578462
node2,1308,b1,1781224673074
node2,1308,b1,1781224673084
node2,1476,b1,1781224767689
node2,1476,b1,1781224767696
node2,1644,b1,1781224858330
node2,1812,b1,1781224954973
node2,1812,b1,1781224954976
node2,300,b1,1781224119574
node2,300,b1,1781224119580
node2,468,b1,1781224205278
node2,468,b1,1781224205281
node2,468,b1,1781224205282
node2,468,b1,1781224205282
node2,468,b1,1781224205286
node2,468,b1,1781224205286
node2,468,b2,1781224205286
node2,468,b1,1781224205297
node2,468,b1,1781224205298
node2,468,b1,1781224205308
node2,636,b1,1781224295537
node2,804,b2,1781224384107
node2,804,b2,1781224384108
node2,804,b1,1781224384134
node2,804,b1,1781224384135
node2,804,b1,1781224384138
node2,804,b1,1781224384138
node2,804,b1,1781224384138
node2,804,b1,1781224384145
node2,804,b1,1781224384374
node2,972,b1,1781224480624
node2,972,b1,1781224480632
node2,1140,b2,1781224578205
node2,1140,b2,1781224578221
node2,1140,b1,1781224578227
node2,1140,b1,1781224578234
node2,1140,b1,1781224578234
node2,1140,b1,1781224578237
node2,1140,b1,1781224578237
node2,1140,b1,1781224578241
node2,1140,b1,1781224578241
node2,1140,b1,1781224578462
node2,1308,b1,1781224673074
node2,1308,b1,1781224673084
node2,1476,b1,1781224767689
node2,1476,b1,1781224767696
node2,1644,b1,1781224858330
node2,1812,b1,1781224954973
node2,1812,b1,1781224954976
node3,300,b1,1781224119571
node3,300,b1,1781224119582
node3,468,b2,1781224205258
node3,468,b2,1781224205259
node3,468,b2,1781224205262
node3,468,b2,1781224205264
node3,468,b1,1781224205275
node3,468,b1,1781224205281
node3,468,b1,1781224205283
node3,468,b1,1781224205284
node3,468,b1,1781224205284
node3,468,b1,1781224205287
node3,468,b1,1781224205287
node3,468,b1,1781224205293
node3,468,b1,1781224205313
node3,468,b1,1781224205505
node3,468,b1,1781224205519
node3,636,b1,1781224295528
node3,804,b2,1781224384109
node3,804,b2,1781224384114
node3,804,b2,1781224384117
node3,804,b2,1781224384120
node3,804,b1,1781224384121
node3,804,b1,1781224384129
node3,804,b2,1781224384129
node3,804,b1,1781224384138
node3,804,b1,1781224384138
node3,804,b1,1781224384138
node3,804,b1,1781224384139
node3,804,b1,1781224384142
node3,804,b1,1781224384146
node3,804,b1,1781224384356
node3,804,b1,1781224384362
node3,804,b1,1781224384365
node3,804,b1,1781224384367
node3,972,b1,1781224480622
node3,972,b1,1781224480632
node3,1140,b2,1781224578207
node3,1140,b2,1781224578210
node3,1140,b2,1781224578214
node3,1140,b1,1781224578235
node3,1140,b1,1781224578236
node3,1140,b1,1781224578236
node3,1140,b1,1781224578236
node3,1140,b1,1781224578236
node3,1140,b1,1781224578237
node3,1140,b1,1781224578240
node3,1140,b1,1781224578240
node3,1308,b1,1781224673074
node3,1308,b1,1781224673082
node3,1476,b1,1781224767686
node3,1476,b1,1781224767697
node3,1644,b1,1781224858338
node3,1812,b1,1781224954974
node3,1812,b1,1781224954975
node3,1812,b1,1781224954981
node3,1812,b2,1781224955264
node3,300,b1,1781224119571
node3,300,b1,1781224119582
node3,468,b2,1781224205258
node3,468,b2,1781224205259
node3,468,b2,1781224205262
node3,468,b2,1781224205264
node3,468,b1,1781224205275
node3,468,b1,1781224205281
node3,468,b1,1781224205283
node3,468,b1,1781224205284
node3,468,b1,1781224205284
node3,468,b1,1781224205287
node3,468,b1,1781224205287
node3,468,b1,1781224205293
node3,468,b1,1781224205313
node3,468,b1,1781224205505
node3,468,b1,1781224205519
node3,636,b1,1781224295528
node3,804,b2,1781224384109
node3,804,b2,1781224384114
node3,804,b2,1781224384117
node3,804,b2,1781224384120
node3,804,b1,1781224384121
node3,804,b1,1781224384129
node3,804,b2,1781224384129
node3,804,b1,1781224384138
node3,804,b1,1781224384138
node3,804,b1,1781224384138
node3,804,b1,1781224384139
node3,804,b1,1781224384142
node3,804,b1,1781224384146
node3,804,b1,1781224384356
node3,804,b1,1781224384362
node3,804,b1,1781224384365
node3,804,b1,1781224384367
node3,972,b1,1781224480622
node3,972,b1,1781224480632
node3,1140,b2,1781224578207
node3,1140,b2,1781224578210
node3,1140,b2,1781224578214
node3,1140,b1,1781224578235
node3,1140,b1,1781224578236
node3,1140,b1,1781224578236
node3,1140,b1,1781224578236
node3,1140,b1,1781224578236
node3,1140,b1,1781224578237
node3,1140,b1,1781224578240
node3,1140,b1,1781224578240
node3,1308,b1,1781224673074
node3,1308,b1,1781224673082
node3,1476,b1,1781224767686
node3,1476,b1,1781224767697
node3,1644,b1,1781224858338
node3,1812,b1,1781224954974
node3,1812,b1,1781224954975
node3,1812,b1,1781224954981
node3,1812,b2,1781224955264
node4,300,b1,1781224119571
node4,300,b1,1781224119574
node4,468,b2,1781224205260
node4,468,b2,1781224205262
node4,468,b1,1781224205273
node4,468,b1,1781224205277
node4,468,b1,1781224205287
node4,468,b2,1781224205287
node4,468,b1,1781224205287
node4,468,b1,1781224205295
node4,468,b1,1781224205296
node4,468,b1,1781224205296
node4,468,b1,1781224205531
node4,636,b1,1781224295526
node4,636,b1,1781224295527
node4,804,b1,1781224384124
node4,804,b1,1781224384133
node4,804,b1,1781224384134
node4,804,b1,1781224384134
node4,804,b1,1781224384135
node4,804,b1,1781224384139
node4,804,b1,1781224384143
node4,804,b1,1781224384145
node4,804,b1,1781224384146
node4,972,b1,1781224480623
node4,972,b1,1781224480623
node4,1140,b1,1781224578223
node4,1140,b1,1781224578229
node4,1140,b1,1781224578229
node4,1140,b1,1781224578238
node4,1140,b1,1781224578239
node4,1140,b1,1781224578240
node4,1140,b1,1781224578240
node4,1140,b1,1781224578242
node4,1140,b1,1781224578243
node4,1140,b1,1781224578457
node4,1140,b1,1781224578465
node4,1140,b1,1781224578472
node4,1308,b1,1781224673074
node4,1308,b1,1781224673075
node4,1476,b1,1781224767687
node4,1476,b1,1781224767689
node4,1644,b1,1781224858330
node4,1812,b1,1781224954977
node4,1812,b1,1781224954979
node4,1812,b2,1781224955244
node4,300,b1,1781224119571
node4,300,b1,1781224119574
node4,468,b2,1781224205260
node4,468,b2,1781224205262
node4,468,b1,1781224205273
node4,468,b1,1781224205277
node4,468,b1,1781224205287
node4,468,b2,1781224205287
node4,468,b1,1781224205287
node4,468,b1,1781224205295
node4,468,b1,1781224205296
node4,468,b1,1781224205296
node4,468,b1,1781224205531
node4,636,b1,1781224295526
node4,636,b1,1781224295527
node4,804,b1,1781224384124
node4,804,b1,1781224384133
node4,804,b1,1781224384134
node4,804,b1,1781224384134
node4,804,b1,1781224384135
node4,804,b1,1781224384139
node4,804,b1,1781224384143
node4,804,b1,1781224384145
node4,804,b1,1781224384146
node4,972,b1,1781224480623
node4,972,b1,1781224480623
node4,1140,b1,1781224578223
node4,1140,b1,1781224578229
node4,1140,b1,1781224578229
node4,1140,b1,1781224578238
node4,1140,b1,1781224578239
node4,1140,b1,1781224578240
node4,1140,b1,1781224578240
node4,1140,b1,1781224578242
node4,1140,b1,1781224578243
node4,1140,b1,1781224578457
node4,1140,b1,1781224578465
node4,1140,b1,1781224578472
node4,1308,b1,1781224673074
node4,1308,b1,1781224673075
node4,1476,b1,1781224767687
node4,1476,b1,1781224767689
node4,1644,b1,1781224858330
node4,1812,b1,1781224954977
node4,1812,b1,1781224954979
node4,1812,b2,1781224955244
node5,300,b1,1781224119573
node5,300,b1,1781224119574
node5,468,b2,1781224205259
node5,468,b2,1781224205262
node5,468,b2,1781224205262
node5,468,b2,1781224205267
node5,468,b2,1781224205268
node5,468,b1,1781224205273
node5,468,b1,1781224205284
node5,468,b1,1781224205284
node5,468,b1,1781224205301
node5,468,b1,1781224205301
node5,468,b1,1781224205303
node5,468,b1,1781224205306
node5,468,b1,1781224205306
node5,468,b1,1781224205317
node5,468,b1,1781224205521
node5,636,b1,1781224295527
node5,636,b1,1781224295529
node5,804,b2,1781224384104
node5,804,b2,1781224384112
node5,804,b2,1781224384112
node5,804,b1,1781224384124
node5,804,b1,1781224384125
node5,804,b1,1781224384129
node5,804,b1,1781224384138
node5,804,b1,1781224384138
node5,804,b1,1781224384144
node5,804,b1,1781224384144
node5,804,b1,1781224384145
node5,804,b1,1781224384148
node5,804,b1,1781224384343
node5,972,b1,1781224480623
node5,972,b1,1781224480625
node5,1140,b2,1781224578209
node5,1140,b2,1781224578211
node5,1140,b2,1781224578218
node5,1140,b1,1781224578224
node5,1140,b1,1781224578238
node5,1140,b1,1781224578239
node5,1140,b1,1781224578239
node5,1140,b1,1781224578239
node5,1140,b1,1781224578241
node5,1140,b1,1781224578244
node5,1140,b1,1781224578456
node5,1308,b1,1781224673074
node5,1308,b1,1781224673077
node5,1476,b1,1781224767689
node5,1476,b1,1781224767689
node5,1476,b1,1781224767690
node5,1644,b1,1781224858330
node5,1812,b1,1781224954977
node5,1812,b1,1781224954981
node5,300,b1,1781224119573
node5,300,b1,1781224119574
node5,468,b2,1781224205259
node5,468,b2,1781224205262
node5,468,b2,1781224205262
node5,468,b2,1781224205267
node5,468,b2,1781224205268
node5,468,b1,1781224205273
node5,468,b1,1781224205284
node5,468,b1,1781224205284
node5,468,b1,1781224205301
node5,468,b1,1781224205301
node5,468,b1,1781224205303
