slot,benchmark_attestations,g1_matching_attestations_on_CA,g2_matching_attestations_on_CB
694,21,11,11
695,21,11,11
696,21,11,11
697,21,11,11
698,21,11,11
699,21,11,11
700,21,11,11
701,21,11,11
702,21,11,11
703,21,11,11
704,21,11,11
705,21,11,11
706,21,11,11
707,21,11,11
708,21,11,11
709,21,11,11
710,21,11,11
711,21,11,11
712,21,11,11
713,21,11,11
714,21,11,11
715,21,11,11
716,21,11,11
717,21,11,11
718,21,11,11
719,21,11,11
720,21,11,11
721,21,11,11
722,21,11,11
723,21,11,11
724,21,11,11
725,21,11,11
726,21,11,11
727,21,11,11
728,21,11,11
729,21,11,11
730,21,11,11
731,21,11,11
732,21,11,11
733,21,11,11
734,21,11,11
735,21,11,11
736,21,11,11
737,21,11,11
738,21,11,11
739,21,11,11
740,21,11,11
741,21,11,11
742,21,11,11
743,21,11,11
744,21,11,11
745,21,11,11
746,21,11,11
747,21,11,11
748,21,11,11
749,21,11,11
750,21,11,11
751,21,11,11
752,21,11,11
753,21,11,11
754,21,11,11
755,21,11,11
756,21,11,11
757,21,11,11
758,21,11,11
759,21,11,11
760,21,11,11
761,21,11,11
762,21,11,11
763,21,11,11
764,21,11,11
765,21,11,11
766,21,11,11
767,21,11,11
768,21,11,11
769,21,11,11
770,21,11,11
771,21,11,11
772,21,11,11
773,21,11,11
774,21,11,11
775,21,11,11
776,21,11,11
777,21,11,11
778,21,11,11
779,21,11,11
780,21,11,11
781,21,11,11
782,21,11,11
783,21,11,11
784,21,11,11
785,21,11,11
786,21,11,11
787,21,11,11
788,21,11,11
789,21,11,11
790,21,11,11
791,21,11,11
792,21,11,11
793,21,11,11
794,21,11,11
795,21,11,11
796,21,11,11
797,21,11,11
798,21,11,11
799,21,11,11
800,21,11,11
801,21,11,11
802,21,11,11
803,21,11,11
804,21,11,11
805,21,11,11
806,21,11,11
807,21,11,11
808,21,11,11
809,21,11,11
810,21,11,11
811,21,11,11
812,21,11,11
813,21,11,11
814,21,11,11
815,21,11,11
816,21,11,11
817,21,11,11
818,21,11,11
819,21,11,11
820,21,11,11
821,21,11,11
822,21,11,11
823,21,11,11
824,21,11,11
825,21,11,11
826,21,11,11
827,21,11,11
828,21,11,11
829,21,11,11
830,21,11,11
831,21,11,11
832,21,11,11
833,21,11,11
834,21,11,11
835,21,11,11
836,21,11,11
837,21,11,11
838,21,11,11
839,21,11,11
840,21,11,11
841,21,11,11
842,21,11,11
843,21,11,11
844,21,11,11
845,21,11,11
846,21,11,11
847,21,11,11
848,21,11,11
849,21,11,11
850,21,11,11
851,21,11,11
852,21,11,11
853,21,11,11
854,21,11,11
855,21,11,11
856,21,11,11
857,21,11,11
858,21,11,11
859,21,11,11
860,21,11,11
861,21,11,11
862,21,11,11
863,21,11,11
864,21,11,11
865,21,11,11
866,21,11,11
867,21,11,11
868,21,11,11
869,21,11,11
870,21,11,11
871,21,11,11
872,21,11,11
873,21,11,11
874,21,11,11
875,21,11,11
876,21,11,11
877,21,11,11
878,21,11,11
879,21,11,11
880,21,11,11
881,21,11,11
882,21,10,11
883,21,8,11
884,21,9,11
885,21,8,11
886,21,7,11
887,21,11,11
888,21,11,10
889,21,11,10
890,21,11,7
891,21,11,11
892,21,11,7
893,21,11,9
894,21,11,11
895,21,11,10
896,21,11,10
897,21,4,10
898,21,8,10
899,21,8,10
900,21,11,10
901,21,11,10
902,21,11,10
903,21,11,10
904,21,11,10
905,21,11,10
906,21,11,10
907,21,11,10
908,21,11,10
909,21,11,10
910,21,11,10
911,21,11,10
912,21,11,11
913,21,11,11
914,21,11,9
915,21,11,5
916,21,11,7
917,21,11,9
918,21,11,11
919,21,11,11
920,21,11,7
921,21,11,11
922,21,11,11
923,21,11,10
924,21,11,11
925,21,11,11
926,21,11,11
927,21,11,11
928,21,11,11
929,21,11,11
930,21,11,11
931,21,11,11
932,21,11,11
933,21,11,11
934,21,11,11
935,21,11,11
936,21,11,11
937,21,11,11
938,21,11,11
939,21,11,11
940,21,11,11
941,21,11,11
942,21,11,11
943,21,11,11
944,21,11,11
945,21,11,11
946,21,11,11
947,21,11,11
948,21,11,11
949,21,11,11
950,21,11,11
951,21,11,11
952,21,11,11
953,21,11,11
954,21,11,11
955,21,11,11
