slot,benchmark_finalized_height,branch_a_finalized_height,branch_b_finalized_height
300,298,298,298
301,299,299,299
302,300,300,300
303,301,301,301
304,302,302,302
305,303,303,303
306,304,304,304
307,305,305,305
308,306,306,306
309,307,307,307
310,308,308,308
311,309,309,309
312,310,310,310
313,311,311,311
314,312,312,312
315,313,313,313
316,314,314,314
317,315,315,315
318,316,316,316
319,317,317,317
320,318,318,318
321,319,319,319
322,320,320,320
323,321,321,321
324,322,322,322
325,323,323,323
326,324,324,324
327,325,325,325
328,326,326,326
329,327,327,327
330,328,328,328
331,329,329,329
332,330,330,330
333,331,331,331
334,332,332,332
335,333,333,333
336,334,334,334
337,335,335,335
338,336,336,336
339,337,337,337
340,338,338,338
341,339,339,339
342,340,340,340
343,341,341,341
344,342,342,342
345,343,343,343
346,344,344,344
347,345,345,345
348,346,346,346
349,347,347,347
350,348,348,348
351,349,349,349
352,350,350,350
353,351,351,351
354,352,352,352
355,353,353,353
356,354,354,354
357,355,355,355
358,356,356,356
359,357,357,357
360,358,358,358
361,359,359,359
362,360,360,360
363,361,361,361
364,362,362,362
365,363,363,363
366,364,364,364
367,365,365,365
368,366,366,366
369,367,367,367
370,368,368,368
371,369,369,369
372,370,370,370
373,371,371,371
374,372,372,372
375,373,373,373
376,374,374,374
377,375,375,375
378,376,376,376
379,377,377,377
380,378,378,378
381,379,379,379
382,380,380,380
383,381,381,381
384,382,382,382
385,383,383,383
386,384,384,384
387,385,385,385
388,386,386,386
389,387,387,387
390,388,388,388
391,389,389,389
392,390,390,390
393,391,391,391
394,392,392,392
395,393,393,393
396,394,394,394
397,395,395,395
398,396,396,396
399,397,396,396
400,398,396,396
401,399,396,396
402,400,396,396
403,401,396,396
404,402,396,396
405,403,396,396
406,404,396,396
407,405,396,396
408,406,396,396
409,407,396,396
410,408,396,396
411,409,396,396
412,410,396,396
413,411,411,411
414,412,412,412
415,413,413,413
416,414,414,414
417,415,415,415
418,416,416,416
419,417,417,417
420,418,418,418
421,419,419,419
422,420,420,420
423,421,421,421
424,422,422,422
425,423,423,423
426,424,424,424
427,425,425,425
428,426,426,426
429,427,427,427
430,428,428,428
431,429,429,429
432,430,430,430
433,431,431,431
434,432,432,432
435,433,433,433
436,434,434,434
437,435,435,435
438,436,436,436
439,437,437,437
440,438,438,438
