slot,benchmark_attestations,g1_matching_attestations_on_CA,g2_matching_attestations_on_CB
300,21,0,0
301,21,0,0
302,21,0,0
303,21,0,0
304,21,0,0
305,21,0,0
306,21,0,0
307,21,0,0
308,21,0,0
309,21,0,0
310,21,0,0
311,21,0,0
312,21,0,0
313,21,0,0
314,21,0,0
315,21,0,0
316,21,0,0
317,21,0,0
318,21,0,0
319,21,0,0
320,21,0,0
321,21,0,0
322,21,0,0
323,21,0,0
324,21,0,0
325,21,0,0
326,21,0,0
327,21,0,0
328,21,0,0
329,21,0,0
330,21,0,0
331,21,0,0
332,21,0,0
333,21,0,0
334,21,0,0
335,21,0,0
336,21,0,0
337,21,0,0
338,21,0,0
339,21,0,0
340,21,0,0
341,21,0,0
342,21,0,0
343,21,0,0
344,21,0,0
345,21,0,0
346,21,0,0
347,21,0,0
348,21,0,0
349,21,0,0
350,21,0,0
351,21,0,0
352,21,0,0
353,21,0,0
354,21,0,0
355,21,0,0
356,21,0,0
357,21,0,0
358,21,0,0
359,21,0,0
360,21,0,0
361,21,0,0
362,21,0,0
363,21,0,0
364,21,0,0
365,21,0,0
366,21,0,0
367,21,0,0
368,21,0,0
369,21,0,0
370,21,0,0
371,21,0,0
372,21,0,0
373,21,0,0
374,21,0,0
375,21,0,0
376,21,0,0
377,21,0,0
378,21,0,0
379,21,0,0
380,21,0,0
381,21,0,0
382,21,0,0
383,21,0,0
384,21,0,0
385,21,0,0
386,21,0,0
387,21,0,0
388,21,0,0
389,21,0,0
390,21,0,0
391,21,0,0
392,21,0,0
393,21,0,0
394,21,0,0
395,21,0,0
396,21,0,0
397,21,0,0
398,21,0,0
399,21,11,10
400,21,11,10
401,21,11,10
402,21,11,10
403,21,11,10
404,21,11,10
405,21,11,10
406,21,11,10
407,21,11,10
408,21,11,10
409,21,11,10
410,21,11,10
411,21,11,10
412,21,15,17
413,21,15,17
414,21,15,17
415,21,15,17
416,21,15,17
417,21,15,17
418,21,15,17
419,21,15,17
420,21,15,17
421,21,15,17
422,21,15,17
423,21,15,17
424,21,15,17
425,21,15,17
426,21,15,17
427,21,15,17
428,21,15,17
429,21,15,17
430,21,15,17
431,21,15,17
432,21,15,17
433,21,15,17
434,21,15,17
435,21,15,17
436,21,15,17
437,21,15,17
438,21,15,17
439,21,15,17
440,21,15,17
